	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Oxa1l	1.65545320035392E-14	-0.423019259963809	0.193	0.262	2.82966615536496E-10
Got2	3.14537955865988E-19	-0.423310663028862	0.172	0.264	5.37639727961732E-15
Acer2	9.56350303959978E-16	-0.423388191626563	0.182	0.256	1.63468957455879E-11
Capza1	1.01573336470131E-21	-0.423400396605561	0.163	0.264	1.73619304028395E-17
Sap30l	1.12065460368579E-15	-0.423430594399712	0.236	0.297	1.91553491408012E-11
Eef1e1	1.42709273230702E-21	-0.424357728670023	0.167	0.269	2.4393296073324E-17
Hdac1	1.36576767772884E-23	-0.424497359432073	0.141	0.255	2.33450669154191E-19
Adss	2.33797421547982E-16	-0.424530116066004	0.218	0.288	3.99629932651966E-12
Dlat	5.36822193637854E-27	-0.424651738067165	0.13	0.255	9.17590175585184E-23
Ccdc86	1.21644487379888E-16	-0.424710282266261	0.204	0.281	2.07926922278442E-12
Zmat5	6.74697487764043E-13	-0.425413587406577	0.255	0.302	1.15326041583508E-08
Prpf19	6.30083537902948E-17	-0.425573332766662	0.251	0.317	1.07700179133751E-12
Fam49b	1.91768992770417E-20	-0.425689530440717	0.163	0.261	3.27790739342474E-16
Ufm1	4.45613351602916E-07	-0.425934693116057	0.468	0.41	0.007616869018949
Itpa	3.88600013496561E-24	-0.42593825245746	0.16	0.274	6.64234003069672E-20
Cd302	4.24597918916126E-27	-0.425973941981184	0.141	0.266	7.25765222803335E-23
Ush1c	2.16858997158457E-15	-0.42630114560343	0.191	0.265	3.7067708384295E-11
Mrpl3	1.9535886005849E-26	-0.426739464338584	0.182	0.301	3.33926899497977E-22
mt-Nd5	1.23301526672744E-17	-0.426866435843718	0.315	0.374	2.10759299541721E-13
Cebpg	3.73898297692156E-19	-0.427438465676983	0.191	0.28	6.39104360245202E-15
Dnajc21	1.6513650185527E-13	-0.427517563150334	0.259	0.304	2.82267822621213E-09
Xpnpep1	1.29908576892132E-20	-0.427716753092425	0.179	0.279	2.22052730481722E-16
Derl1	4.62699749134073E-11	-0.427736804857243	0.319	0.338	7.90892681194871E-07
Pigt	4.50033750668223E-09	-0.427838596398467	0.302	0.316	7.69242690017193E-05
Commd9	3.42211050265436E-22	-0.427978360056092	0.178	0.28	5.8494134821871E-18
Wdr33	1.73282774718712E-18	-0.428061873950906	0.185	0.272	2.96192246826694E-14
Ptbp3	9.31256749115417E-10	-0.428764955470432	0.304	0.327	1.59179716126298E-05
