"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Tuba1c"	1.29350460729196e-229	-0.511849675616749	0.056	0.305	2.21098742524415e-225	"0"	"Tuba1c"
"Calm2"	7.06896093405561e-226	-0.556692077658745	0.793	0.916	1.20829749245812e-221	"0"	"Calm2"
"Cks2"	2.59463730598643e-225	-0.803292994775994	0.26	0.52	4.43501354712261e-221	"0"	"Cks2"
"Impdh2"	3.82205880283182e-225	0.628719006909272	0.749	0.625	6.53304511168043e-221	"0"	"Impdh2"
"Soat1"	3.69012953742757e-223	0.687255838871611	0.349	0.164	6.30753841832494e-219	"0"	"Soat1"
"Capns1"	1.04444316173435e-220	-0.554911648228865	0.226	0.522	1.78526669635252e-216	"0"	"Capns1"
"Ethe1"	2.62621537567839e-218	-0.593558383980079	0.08	0.331	4.48898994164707e-214	"0"	"Ethe1"
"Atp5g1"	4.50846137669038e-218	-0.411195981125228	0.976	0.98	7.70631303117687e-214	"0"	"Atp5g1"
"Dnajb11"	3.0391298800983e-217	-0.509523085833705	0.17	0.456	5.19478470405203e-213	"0"	"Dnajb11"
"Cgref1"	3.93299641846265e-217	-0.618997012648468	0.044	0.274	6.7226707780782e-213	"0"	"Cgref1"
"Sfn"	8.04257631848422e-216	-0.538971086633941	0.185	0.468	1.37471757011851e-211	"0"	"Sfn"
"Gna11"	7.4535318296182e-215	-0.771725020220928	0.294	0.569	1.27403219563664e-210	"0"	"Gna11"
"Dbi"	1.51671693181617e-214	-0.498102167714707	0.97	0.964	2.59252425155338e-210	"0"	"Dbi"
"Dnajc3"	6.00291474967934e-214	-0.575298044107511	0.188	0.473	1.02607821816269e-209	"0"	"Dnajc3"
"S100a10"	1.60876087273118e-213	-0.598867423155166	0.745	0.874	2.74985495975941e-209	"0"	"S100a10"
"Cdhr5"	1.7264904746402e-213	-0.691605765566051	0.076	0.321	2.95109016830249e-209	"0"	"Cdhr5"
"Fcgbp"	9.34564435307459e-212	-4.00283712259559	0.169	0.409	1.59745098927104e-207	"0"	"Fcgbp"
"Ssr2"	3.68210713703477e-208	-0.609656751897599	0.659	0.868	6.29382572933354e-204	"0"	"Ssr2"
"Hmgcs1"	2.4636500717699e-207	-0.559845525916097	0.067	0.303	4.21111706767629e-203	"0"	"Hmgcs1"
"Cdkn3"	3.67001467453621e-207	-0.507692282149883	0.033	0.251	6.27315608318475e-203	"0"	"Cdkn3"
"Actb"	5.79314536911869e-207	-0.527288710338071	0.931	0.983	9.90222337943458e-203	"0"	"Actb"
"Rgcc"	9.26375064865581e-207	0.694045574200342	0.335	0.154	1.58345289837474e-202	"0"	"Rgcc"
