"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Hspe1"	8.268446908814e-300	-1.63502005598909	0.803	0.907	1.41332563012358e-295
"Psme1"	4.88318092612839e-299	-1.52986251990263	0.586	0.854	8.34682115703125e-295
"Ndufb10"	3.79940523704896e-298	-1.56603474517864	0.696	0.877	6.49432337168778e-294
"H2afv"	3.67136335919152e-297	-1.5158729370677	0.751	0.906	6.27546138986606e-293
"Psmb1"	2.18543718666886e-296	-1.38866549147054	0.707	0.877	3.73556778317309e-292
"Cyc1"	7.9631968978273e-296	-1.66212615611617	0.715	0.88	1.36114924574562e-291
"Mdh1"	1.26064702238506e-295	-1.50613143875364	0.733	0.876	2.15482395536278e-291
"Hmgb1"	1.45037040388313e-294	-1.85700062183814	0.731	0.891	2.47911813135743e-290
"Eef2"	8.97425535290576e-293	-1.13503474921033	0.908	0.958	1.53396946747218e-288
"Park7"	1.22665298909541e-292	-1.39278439866631	0.744	0.892	2.09671795426079e-288
"Rpl4"	7.80516796366472e-292	-1.20661636478638	0.874	0.945	1.33413736002921e-287
"Snrpg"	2.9259568543154e-290	-1.47839329495525	0.752	0.901	5.00133805108131e-286
"Chchd10"	1.72528397211176e-289	-1.60112782390234	0.739	0.882	2.94902789353063e-285
"Ndufa6"	6.84826223157086e-289	-1.42265981943326	0.71	0.871	1.17057346324241e-284
"Tma7"	1.86093663385005e-287	-1.37969698579304	0.706	0.875	3.18089898823989e-283
"Gpx1"	2.80318887555154e-287	-1.73854999611369	0.765	0.884	4.79149074498024e-283
"Ndufa12"	2.0927387312643e-286	-1.46454043658789	0.674	0.863	3.57711831335007e-282
"Eif3k"	5.375326570219e-286	-1.30793519337304	0.762	0.896	9.18804570647534e-282
"Eif2s2"	3.60051732812732e-285	-1.32847918882208	0.783	0.887	6.15436426896803e-281
"Nedd8"	5.81913636122919e-283	-1.35356960383862	0.677	0.867	9.94664978224905e-279
"Psmb3"	6.32173197457627e-283	-1.34696396965784	0.721	0.883	1.08057364641432e-278
"Ndufb5"	2.29561555106213e-281	-1.41889738632561	0.689	0.87	3.9238956614305e-277
"Phgr1"	1.35987087454461e-280	-1.75191334191904	0.909	0.926	2.3244272858591e-276
"Akr1a1"	1.49696110686522e-280	-1.37212341396821	0.678	0.868	2.55875561996473e-276
"Ndufc2"	3.9342556808148e-279	-1.44845293956849	0.673	0.864	6.72482323521673e-275
"Tle5"	6.9133054190522e-279	-1.31408848742535	0.81	0.884	1.18169129527859e-274
"S100a10"	5.84448784623738e-278	-1.63367827799749	0.632	0.862	9.98998307557355e-274
"Clta"	2.05176852980576e-277	-1.31232868762507	0.694	0.872	3.50708794799699e-273
"Micos10"	4.03991813596524e-276	-1.41574922295088	0.691	0.867	6.90543206980539e-272
"Ndufb7"	4.71258745614094e-276	-1.35834600692618	0.729	0.876	8.05522573878171e-272
"Gas5"	7.61906310124137e-276	-1.47478016566068	0.744	0.912	1.30232645589519e-271
"Rbm3"	2.65167675993644e-275	-1.42236169203298	0.708	0.878	4.53251108575935e-271
"Eif4a1"	2.43552110363586e-274	-1.36081472748387	0.759	0.882	4.16303622244477e-270
"Ndufs6"	4.0345387645658e-274	-1.30784161649386	0.721	0.874	6.89623711027232e-270
"Nme1"	2.86787534761406e-273	-1.32288765528444	0.79	0.885	4.90205933167671e-269
"Ndufc1"	3.72669645417188e-273	-1.39391262364995	0.757	0.883	6.370042249116e-269
"Hspd1"	9.59625654948389e-272	-1.75417470842283	0.648	0.853	1.64028813200328e-267
"Ran"	1.84612543763826e-271	-1.5836353300528	0.724	0.885	3.15558221055508e-267
"Mgst3"	1.09955716504368e-270	-1.83559700595678	0.632	0.847	1.87947306220916e-266
"Phb2"	1.76596245638698e-270	-1.49396654832517	0.668	0.853	3.01855962670227e-266
"Uqcrfs1"	1.31511668102245e-269	-1.53569004226706	0.627	0.839	2.24792894287168e-265
"Ndufs7"	5.08707530812928e-269	-1.38778502181625	0.737	0.869	8.69533782418538e-265
"Prdx6"	3.74887807744866e-268	-1.47295634493384	0.67	0.852	6.40795729778299e-264
"Cfl1"	4.34685942836263e-265	-1.44164083228577	0.598	0.826	7.43008682090025e-261
"Ldha"	1.38575297249115e-262	-1.64981840813938	0.711	0.858	2.36866755587911e-258
"Gnb2"	1.71599402967004e-262	-1.26527928905295	0.769	0.878	2.93314859491501e-258
"Tomm7"	1.10815056307907e-260	-1.263564956437	0.694	0.871	1.89416175747106e-256
"Gpx2"	3.48630605888281e-260	-1.44405100492325	0.866	0.902	5.95914294644838e-256
"Eef1d"	1.64658351036205e-259	-1.23301824583181	0.801	0.888	2.81450519426185e-255
"Hnrnpf"	1.80801672022033e-258	-1.4024867081322	0.687	0.842	3.09044297987262e-254
"mt-Nd4"	5.29265651780854e-258	-1.11085549391894	0.925	0.955	9.04673778589014e-254
"Mrpl52"	6.8236942535841e-257	-1.15440652260462	0.812	0.899	1.16637405876513e-252
"Arpc3"	4.62390414512657e-256	-1.3608205980951	0.613	0.832	7.90363935526484e-252
"Pfdn5"	3.19273826741869e-255	-1.21781571566736	0.774	0.881	5.45734752049877e-251
"Ndufa2"	2.04053321562145e-254	-1.21219609440579	0.772	0.882	3.48788342546175e-250
"Calml4"	6.23168872433109e-254	-1.33791361388717	0.743	0.862	1.06518255364991e-249
"Ndufa11"	1.87329579622646e-253	-1.23430472446754	0.767	0.868	3.20202450448989e-249
"Cldn3"	7.44337274423613e-253	-1.31810200784089	0.811	0.89	1.27229570317228e-248
"Mpc2"	4.86824952764494e-251	-1.44505939906927	0.643	0.825	8.32129891760349e-247
"Psmb2"	5.77188015199762e-251	-1.36871312340386	0.604	0.823	9.86587474380954e-247
"Snrpe"	8.16689759442406e-251	-1.42107873223237	0.65	0.843	1.39596780581491e-246
"Jpt1"	8.76643443459926e-251	-1.45182768018255	0.622	0.837	1.49844663790605e-246
"Micos13"	2.03010285313079e-250	-1.27130318217266	0.705	0.86	3.47005480685647e-246
"Ndufb1-ps"	4.22763313923725e-250	-1.32478659415696	0.667	0.841	7.22629332489823e-246
"Rps27l"	2.15393401063341e-249	-1.02583632930141	0.933	0.923	3.68171940437569e-245
"Qsox1"	2.97706808186692e-249	0.477087598124943	0.725	0.197	5.08870247233513e-245
"Ppp1r14b"	3.90681040176673e-249	-1.32798407046283	0.73	0.86	6.67791101973987e-245
"Sec61g"	1.06242816228678e-248	-1.13976654382186	0.893	0.917	1.81600845779679e-244
"Suclg1"	3.31104734703374e-248	-1.41158191541285	0.627	0.82	5.65957323028476e-244
"Sumo2"	7.08164997222396e-247	-1.4249802438004	0.677	0.838	1.21046642975224e-242
"Eif3i"	1.04160828569608e-246	-1.27172573867437	0.678	0.847	1.78042104274032e-242
"Oat"	1.06894905889866e-246	-1.64584158080286	0.726	0.871	1.82715462637547e-242
"Rtraf"	1.98276380430769e-246	-1.27509146942035	0.648	0.833	3.38913817070313e-242
"Smdt1"	2.18431522523807e-246	-1.24677124245548	0.822	0.879	3.73365001449944e-242
"Cystm1"	9.93155274788642e-246	-1.56047837915619	0.465	0.786	1.69760031119623e-241
"Psmb6"	2.36634623840425e-243	-1.2186418387749	0.686	0.841	4.04479562530438e-239
"Psmb5"	3.1855594348262e-243	-1.27497861417619	0.686	0.829	5.44507674194843e-239
"Snrpd2"	1.9598749283867e-242	-1.28459735193232	0.707	0.857	3.35001421509139e-238
"Edf1"	3.0558540702227e-242	-1.21566099015838	0.805	0.865	5.22337136223166e-238
"Ubl5"	6.81052662532613e-242	-1.18434159836757	0.743	0.861	1.164123316067e-237
"Eef1g"	1.84172821017782e-240	-1.09877947368316	0.833	0.91	3.14806602965694e-236
"Sri"	4.28981451803781e-240	-1.35083956905939	0.594	0.815	7.33257995568204e-236
"Psmb4"	4.46216189602858e-240	-1.27517969571288	0.556	0.801	7.62717332888165e-236
"Mrpl12"	2.49162280547516e-239	-1.39866714496551	0.68	0.84	4.25893086139869e-235
"Tmem14c"	4.25871610010873e-239	-1.40837441580846	0.553	0.798	7.27942342991586e-235
"Ndufs2"	5.60689561334317e-239	-1.34049520793047	0.621	0.829	9.58386667188749e-235
"Esd"	1.84747832668572e-238	-1.37423431313381	0.588	0.808	3.1578947038039e-234
"Ndufa5"	1.15325532844033e-237	-1.38557790117295	0.658	0.838	1.97125933290305e-233
"Myl12b"	1.85912448640908e-237	-1.45191603826954	0.588	0.804	3.17780148461905e-233
"Polr1d"	4.96778499208142e-237	-1.25704781967028	0.653	0.831	8.49143488696477e-233
"mt-Co1"	8.05568411089506e-236	-0.916918343324091	0.988	0.993	1.37695808507529e-231
"Fabp2"	2.11261408578437e-235	-1.98299465522252	0.74	0.859	3.61109125683122e-231
"Tpi1"	6.95938420144738e-235	-1.33477778577945	0.697	0.838	1.1895675415534e-230
"Ndufv2"	2.46621924483858e-234	-1.37976776987161	0.598	0.806	4.21550855520258e-230
"Psme2"	3.26639821987873e-234	-1.41552068401716	0.533	0.785	5.58325447723871e-230
"mt-Nd2"	1.26076907623072e-233	-1.14697177390232	0.855	0.905	2.15503258200118e-229
"Cyb5a"	3.86664659138587e-232	-1.4717418669891	0.597	0.801	6.60925901865586e-228
"Itm2b"	7.83203075131263e-232	-1.2588697105321	0.77	0.854	1.33872901632187e-227
"Ndufs5"	3.4670807823975e-231	-1.3482564440469	0.624	0.808	5.92628118135204e-227
"Clic1"	6.81171125904716e-231	-1.39646099890998	0.538	0.788	1.16432580550893e-226
"Ndufb4"	7.24445271769598e-231	-1.29226916943194	0.635	0.813	1.23829430303577e-226
"Ywhae"	2.26513423083009e-230	-1.26394878768463	0.64	0.813	3.87179394075787e-226
"Cox7a2l"	1.6490758878402e-228	-1.30265730078334	0.59	0.811	2.81876541508525e-224
"Psma3"	2.85714517434864e-228	-1.29337232938287	0.606	0.806	4.88371824651413e-224
"Ndufb2"	1.70117725003429e-227	-1.23206358412587	0.673	0.823	2.90782227348362e-223
"Uqcrc2"	4.66811227500839e-227	-1.37147477683572	0.573	0.796	7.97920431167185e-223
"Atox1"	7.49478082572964e-227	-1.23992681645336	0.647	0.819	1.28108288654197e-222
"Pomp"	5.79725909473542e-224	-1.2806563664955	0.575	0.798	9.90925497063126e-220
"Ndufa3"	1.35808151738364e-223	-1.23220081992186	0.635	0.811	2.32136873766386e-219
"Tkt"	1.95129763138068e-223	-1.40122412218963	0.581	0.796	3.33535304131899e-219
"Sdhb"	7.93500947480735e-223	-1.37770591390115	0.614	0.805	1.35633116952882e-218
"Timm13"	3.01279436912776e-220	-1.08685097138532	0.751	0.854	5.14976941515008e-216
"Cycs"	2.64705481514668e-219	-1.47473782307284	0.577	0.786	4.52461079553021e-215
"Mif"	7.07838356617501e-219	-1.35082826282836	0.733	0.845	1.20990810296629e-214
"Tomm5"	5.86989159198152e-218	-1.35508321987079	0.646	0.807	1.0033405698174e-213
"Psma4"	8.37174604181435e-218	-1.3036907243719	0.553	0.78	1.43098255092733e-213
"Ndufa8"	1.42146236715434e-217	-1.30890848667005	0.606	0.795	2.42970562417691e-213
"Gpx4"	4.08714936648291e-217	-1.28903609315405	0.633	0.809	6.98616441212923e-213
"Arpc2"	7.67229460283104e-217	-1.3279870684906	0.579	0.779	1.31142531646191e-212
"Vdac1"	8.2859651983811e-217	-1.36610752891914	0.489	0.763	1.41632003135928e-212
"Srsf3"	1.46587880232053e-216	-1.35778828052878	0.58	0.791	2.50562663680648e-212
"Hnrnpk"	2.1155693477597e-216	-1.2686493043121	0.647	0.81	3.61614268612566e-212
"Dad1"	3.91794624877922e-216	-1.04315778755453	0.904	0.901	6.69694552303833e-212
"Ifi30"	1.49222181512353e-215	-1.35198442510782	0.562	0.773	2.55065474859066e-211
"Rab25"	1.71162115776315e-215	-1.25650929522843	0.584	0.792	2.92567404496456e-211
"Cib1"	2.78424799325304e-215	-1.27392388433342	0.593	0.795	4.75911509486742e-211
"Ppa1"	5.7608760358241e-215	-1.35438028506125	0.662	0.806	9.84706540803414e-211
"Csrp2"	8.10125594352148e-214	-1.40102446871683	0.653	0.814	1.38474767842613e-209
"Aldh1b1"	1.63709984497248e-213	-1.3207908003429	0.685	0.825	2.79829476501146e-209
"Mrpl42"	2.051419505219e-213	-1.30534530625032	0.59	0.786	3.50649136027083e-209
"Nop10"	2.35454866820289e-213	-1.23483877067771	0.729	0.822	4.0246300385592e-209
"Arpc1b"	3.94640979406293e-213	-1.26959816893314	0.596	0.795	6.74559826099176e-209
"Sub1"	1.68264663088572e-212	-1.2565438588953	0.617	0.789	2.87614788617296e-208
"Ranbp1"	3.38649653230609e-212	-1.49987441430084	0.609	0.796	5.78853852267079e-208
"Tbca"	8.98299530728903e-212	-1.20284505619825	0.604	0.793	1.53546338787491e-207
"Nt5c"	2.83432681186806e-211	-1.19690295628771	0.6	0.802	4.84471481952607e-207
"Cracr2a"	1.38470458875361e-210	0.273475081987556	0.288	0.047	2.36687555355655e-206
"Lsm4"	2.5329966214397e-210	-1.27790066401097	0.631	0.805	4.32965112502688e-206
"Anp32b"	1.67335359931198e-209	-1.45821683989155	0.627	0.8	2.86026330730397e-205
"H2afj"	1.2558958011128e-207	-0.901900113912043	0.93	0.922	2.14670269284211e-203
"Ifitm2"	1.99008795381531e-206	-1.34558100140628	0.815	0.867	3.40165733945651e-202
"Gnas"	4.32339671935202e-206	-1.11928492823572	0.742	0.837	7.3899820123884e-202
"Mrps24"	2.63408689972691e-205	-1.17865246913587	0.659	0.802	4.50244473770321e-201
"Psma2"	3.52552807455765e-204	-1.19795342711982	0.586	0.783	6.02618513784138e-200
"Snrpf"	3.58856901764261e-204	-1.29734826150857	0.626	0.797	6.13394102185651e-200
"Aprt"	8.84860164244346e-203	-1.32397254856312	0.578	0.785	1.51249147874286e-198
"Pgls"	1.04582986876763e-202	-1.09874934242033	0.762	0.846	1.78763699468452e-198
