"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Lsm8"	3.41683956879299e-171	0.432003607528076	0.728	0.386	5.84040387493786e-167
"Atp5c1"	3.95072673393649e-171	0.397319438880407	0.998	0.924	6.75297720631764e-167
"Mrpl55"	5.14979139952516e-171	0.445186143300439	0.787	0.444	8.80253843920836e-167
"Ndufa11"	1.16138664860912e-170	0.431954963875631	0.984	0.854	1.98515819846756e-166
"Ccdc25"	2.72659881420696e-170	0.392702915132845	0.61	0.291	4.66057535312396e-166
"Eif1ad"	3.23583980135483e-170	0.387448930098078	0.626	0.301	5.53102097245581e-166
"Fxyd3"	3.62162316822788e-169	-1.6662836174323	0.222	0.481	6.19044048145191e-165
"Grpel1"	4.42134996570931e-169	0.467402268423988	0.921	0.668	7.55741349638693e-165
"Sdhd"	5.93938157280427e-169	0.470451725495932	0.942	0.677	1.01521849223943e-164
"Coq7"	7.33639122859308e-169	0.446420086514921	0.764	0.421	1.25400935270341e-164
"Timm23"	9.95279947687564e-169	0.471375062679513	0.926	0.644	1.70123201458235e-164
"Dtymk"	1.2630705237777e-168	0.465826147122303	0.827	0.488	2.15896644629323e-164
"Gapdh"	2.57134620709491e-168	0.387815520146442	0.996	0.907	4.39520207178732e-164
"Lsm5"	6.43144482726729e-168	0.444638606038054	0.843	0.496	1.0993268643248e-163
"Phb2"	1.17818171962477e-167	0.44733603909815	0.991	0.833	2.01386601335462e-163
"S100a10"	1.54663254674148e-167	0.428316630520865	0.992	0.841	2.64365901214522e-163
"Ndufb9"	6.66325785062459e-167	0.382248690927985	0.998	0.933	1.13895066440726e-162
"Mrpl20"	1.71210109051839e-166	0.468025306673365	0.926	0.652	2.92649439402308e-162
"Mrpl42"	3.52096921714006e-166	0.450220097503976	0.973	0.761	6.0183926828575e-162
"Vdac1"	2.80514205211909e-165	0.454114601657271	0.972	0.732	4.79482930968717e-161
"Fam136a"	5.85767213438134e-165	0.454829243072882	0.77	0.44	1.0012518979298e-160
"Mrps22"	1.33730832174802e-164	0.385821559341333	0.632	0.311	2.2858611143639e-160
"Ubald2"	2.65270388293439e-164	0.463829854312731	0.857	0.529	4.53426674709976e-160
"Ifi30"	3.43951666744756e-163	0.459256030747074	0.968	0.747	5.87916583966811e-159
"Gpx4"	5.53080127203774e-163	0.424672809993175	0.983	0.786	9.45379861429411e-159
"Gipc2"	3.07545753499662e-162	0.440636612379656	0.73	0.398	5.25687956456972e-158
"Phf5a"	8.25936567435657e-162	0.466444352371071	0.918	0.641	1.41177337471777e-157
"Marc2"	8.81128168772693e-162	0.399327164581648	0.963	0.744	1.50611237888316e-157
"Pgk1"	8.79062910141286e-161	0.465206566563743	0.944	0.673	1.5025822323045e-156
"Ppp1cc"	1.62214760460006e-160	0.445018461484717	0.816	0.49	2.77273690054288e-156
"Tmem54"	8.49160926807268e-160	0.456600684886147	0.789	0.464	1.45147077219166e-155
"Exosc8"	3.18034522009763e-159	0.379348735425963	0.681	0.342	5.43616408471287e-155
"Ndufb6"	3.87707589210455e-158	0.44479330343719	0.949	0.728	6.62708582237431e-154
"Pgp"	2.34740143427281e-157	0.465515851590595	0.924	0.665	4.01241327160252e-153
"Tff3"	1.7986387580563e-156	-4.03748938939143	0.644	0.721	3.07441322914564e-152
"Mrpl35"	1.41287857607074e-155	0.418464084733559	0.816	0.482	2.41503335007772e-151
"Olfm4"	1.69639562016769e-155	-2.35123453102626	0.583	0.669	2.89964903355264e-151
"Snrpe"	4.00956142256045e-155	0.426908139420617	0.989	0.822	6.85354333958257e-151
"Mrps36"	4.1227292154652e-153	0.455496775125013	0.888	0.597	7.04698104799467e-149
"Timm8a1"	1.6963058620273e-152	0.449294079920471	0.857	0.543	2.89949560996326e-148
"Ppih"	1.97300775217908e-152	0.381371616548467	0.647	0.33	3.3724621507997e-148
"Kras"	3.81512201591251e-152	0.438601712461044	0.739	0.429	6.52118806179926e-148
"Tsfm"	1.80043087414302e-150	0.385352281211712	0.744	0.411	3.07747649317266e-146
"Otc"	3.15595580908567e-150	0.430695223402974	0.867	0.532	5.39447526447014e-146
"Cenpx"	4.25607184276382e-150	0.422607272972599	0.928	0.645	7.27490360083619e-146
"Cox20"	1.39128555623227e-149	0.431688671800026	0.93	0.662	2.37812440126782e-145
