""	"RNA.0"	"RNA.1"	"RNA.2"	"RNA.3"	"RNA.4"	"RNA.5"	"RNA.6"	"RNA.7"	"RNA.8"	"RNA.9"	"RNA.10"	"RNA.11"	"RNA.12"	"RNA.13"	"RNA.14"
"Chic2"	0.491257808009016	0.5863208902362	0.451110013121563	0.487105877659378	0.450092812771819	0.486277248753113	0.600218524823054	0.487364010233669	0.131748697738758	0.387414672981636	1.01127764925839	0.957058900270618	0.448134633225995	0.918839258177387	1.58059885694174
"Kit"	0.0152167951197428	0.0249761526422634	0.496332235813187	0.0243858587861852	0.0023661325043667	0.00185942745525739	0.389341539070295	0	0.292136780260451	0	0.445654476811943	0.784933677541457	0.00769926070071552	0.317693181734421	0.193986639980228
"Gm19590"	0.000541845773787192	0	0.00133863074138725	0.00144235456883118	0	0	0.000914042359647881	0	0.000939356814874001	0	0	0	0	0.0760201909627197	0.0780859570214893
"Srd5a3"	0.130179612761467	0.117066133443258	0.131389828675437	0.103502030332353	0.120480062039644	0.0963191446479019	0.147284484049406	0.100005450125141	0.0331039058833141	0.086710600058603	0.123297103636214	0.0994415459389848	0.159766205652304	0.0938337490973897	0.187812579654855
"Tmem165"	0.37056267598225	0.38984477323783	0.846891759873304	0.415479234976913	0.365555375401322	0.405084237607764	0.615112661583397	0.213844708205909	0.15179953848431	0.19302336997641	0.372407919487892	0.556902152989749	0.373381560365016	0.288887247152899	0.561385068784588
"Clock"	0.308987034968245	0.234401413312799	0.214814662461515	0.232613522652853	0.242365023398913	0.265228846371187	0.260359479197435	0.279772726089445	0.128631201426923	0.26011792492216	0.866703844151379	0.349747459326772	0.278897715924619	0.954480691076226	0
"Gm7467"	0.0634099390274035	0.0452910893005518	0.0155067638879568	0.0319165131905359	0.0471276815937361	0.0164542666289096	0.0280892084902526	0.0290595123386681	0.00406892862324981	0.0422368894021491	0.0596047445580655	0.0181856205311941	0.0454993225931545	0.101452144189682	0
"Nmu"	0	0.000459742636072327	0	0.00124203179153606	0.00270204033767939	0	0	0	0.00350956743177576	0.00461421899267908	0.00968571782791966	0	0	0	0
"Exoc1"	0.118190161608653	0.14245035039781	0.0910696342257592	0.132671916797129	0.123091842672201	0.113269278223977	0.136639323708713	0.0798695322304921	0.0376761788004743	0.0902914648246734	0.18821865825963	0.200075914621005	0.0733283822152595	0.252968821029529	0.137544014084507
"Cep135"	0.0207003374013347	0.045822123181592	0.0479404619311812	0.0634321881864027	0.0401480707347705	0.0490916223152288	0.0532774983025991	0.0125407629931305	0.0119830248155813	0.0233611907768699	0.115405925089596	0.0695675863768145	0.00522696528667814	0.0984756606183134	0
"C530008M17Rik"	0.01713589817758	0.00732206676980368	0.0683150584982419	0.016051966024304	0.00192250793467087	0.0139530646645789	0.0269289832538833	0.0185356468125281	0.0180900974310929	0.113921731280753	0.361997796691156	0.087692852164761	0.132297038100139	0.416120392716852	0
"Aasdh"	0.0391450179886845	0.0538071673938397	0.0516400679172441	0.0451801655936077	0.031005056243276	0.0488410042919508	0.0306737922384624	0.0329250517329383	0.0112323562371694	0.0240513885309305	0.0561749868869488	0.040044166105811	0.0231362819385963	0.104217650205817	0
"Ppat"	0.301742363857166	0.244436216332076	0.0300570159135806	0.412718592658247	0.307939556742638	0.114929896860324	0.145040457946136	0.0559766939858579	0.0412499239803769	0.0641999162450978	0.151296009787391	0.291563457504444	0.0165099258369103	0.301839849554093	0.391454299413775
"Paics"	0.733045540727774	0.417450889803104	0.0715503771884814	0.882511605709662	0.627440006783619	0.232355363598553	0.307211650435005	0.119527944531053	0.128602709492166	0.0417611031685501	0.361419099739129	0.365952859507614	0.0620040275831939	0.373044301069294	0.388903138668585
"Srp72"	0.719247214171241	0.709884103504988	1.10750535513864	0.622368218969049	0.655855101466177	0.666511804656395	0.886270347784616	0.646340375875298	0.49348758215615	0.677599082505611	0.967845079391261	0.683126083932279	0.686810044754531	1.3147667404349	0.778485294318315
"1700112J05Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Thegl"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hopx"	2.79061290422383	2.32640759635674	1.3056565180372	2.30414427444626	1.9825559401316	1.17453404744706	1.86381298755803	0.588949262462793	0.735936522260655	0.336949349066688	4.24693658538724	4.6153498505984	0.221198755625486	6.65989642540909	0.577615368079386
"Hopxos"	0.0108076072913925	0.00648899326991788	0.00418299162420398	0.0074401797670682	0.00907031236516228	0.00318576528630924	0.0109538218751247	0.00231345403457333	0.000844430273027951	0.00499047223920399	0.0292449451529524	0.00260273380748203	0.0197210593459524	0.0326455993732045	0
"Rest"	0.36002420664006	0.322714706698514	0.166844543454613	0.322206094266894	0.297473350441668	0.194200433670737	0.239277946182195	0.159792028828337	0.0777737141540436	0.111975703683091	0.0688711294192122	0.456938549768885	0.164589749673187	0.0851877827152894	0.263992683204502
"Noa1"	0.495825317394928	0.482740069349803	0.115221856638977	0.456297746688116	0.568769182396847	0.321725450013215	0.255354933774413	0.302605523882052	0.0664676582909966	0.1622648412808	0.229760522610938	0.197587355560866	0.173579502724693	0.142365682243469	0.160490461115583
"Polr2b"	0.201197235505986	0.260285386422454	0.148360082753574	0.257614647274304	0.197832000922087	0.225072681711997	0.210606237822254	0.128386074651923	0.0636710558940156	0.110590016592373	0.220892772529276	0.219938959464085	0.12607490220303	0.28947951827544	0.206562036483067
"Igfbp7"	0.000549177409125966	0.000419929871711424	0	0	0	0	0	0.00235992934371545	0	0	0.0296109047642944	0	0	0	0
"Adgrl3"	0	0	0	0	0	0	0	0	0	0	0	0.0190085098302596	0	0	0.0523275284661755
"Cenpc1"	0.0678078612232325	0.19584437951661	0.0765713946739535	0.111150110489884	0.0462164254619099	0.128114259086194	0.141890034872409	0.0515862517376398	0.0363481011906584	0.0320615831332804	0.194354389279085	0.161833774813224	0.0225775022883173	0.198174275618378	0
