""	"RNA.0"	"RNA.1"	"RNA.2"	"RNA.3"	"RNA.4"	"RNA.5"	"RNA.6"	"RNA.7"	"RNA.8"	"RNA.9"	"RNA.10"	"RNA.11"	"RNA.12"	"RNA.13"	"RNA.14"
"Madd"	0.0614657087676455	0.037011828497554	0.125153103814964	0.0186609727884638	0.0338425656129287	0.0508293314126955	0.0778985073858078	0.041609914092517	0.0528235735480039	0.0329690435893222	0.520760970541891	0.226604851781037	0.074839048205172	0.625171819600833	0
"Nr1h3"	0.130541554176645	0.147132653214323	0.0306622708931642	0.103712526772204	0.190893788238361	0.208073608389073	0.122368778858262	0.377606427580736	0.0315027417929499	0.49733750740706	0.0287430336645221	0.124230706942661	0.436800640084379	0.158825907656734	0
"Acp2"	0.0347223091590424	0.0227858733817482	0.0735347028651773	0.0375274550930937	0.0403221580582897	0.0503938527222303	0.0437991337083154	0.0330119853675517	0.0109700684824072	0.0579336423278514	0.141575400181263	0.0565796808658814	0.0657276263678797	0.162533170083078	0
"Ddb2"	0.106792783457383	0.101575405915862	0.0288973265455956	0.162778270652188	0.126781777084663	0.0837783767295412	0.0504664932938397	0.0373699224087911	0.0223945143999938	0.0143873755482575	0.0438639645704432	0.0805358941370309	0.0583315317461026	0.0201867770675721	0
"Pacsin3"	0.00475812680796071	0.0142999376448743	0.0108411791436599	0.0169069886758193	0.00712062750711905	0.00661755841271321	0.00560036246673604	0.0031944836156341	0.0335724627576056	0.00297313422004797	0.0289905450581148	0	0.002892074155095	0.00493353541094377	0
"Arfgap2"	0.229410410446044	0.268549392352244	0.222698294753068	0.245478812489911	0.229171980401736	0.240022509218183	0.317710669508797	0.248054496529902	0.117015705409643	0.142667507665879	0.416741080437738	0.419044021141608	0.244213691582533	0.716055459460789	0
"1110051M20Rik"	0.0916861771068584	0.0750682370699142	0.0425729041204985	0.0529872498266778	0.0544241914058367	0.0305522177893121	0.0403163522895983	0.0171891003507819	0.0141847789233667	0.0101495937837702	0.265014070743523	0.154477401610941	0.0143480442001837	0.221613098733434	0
"Lrp4"	0.0580263359104175	0.0474410140736178	0.022507817098815	0.0456346081131606	0.0521506295786698	0.0524248582675796	0.0216499629130405	0.0315034816263776	0.0187602380266347	0.0354865934752287	0.0748476199929642	0.0347370063885419	0.0507480946817092	0.0630575786289888	0
"Ckap5"	0.103451137238945	0.531294605477957	0.10755674388694	0.210920746841539	0.100902033409931	0.481014639194623	0.313516650188537	0.0874126201683057	0.0799890422932423	0.0656970782951137	0.269888772063015	0.401968390147686	0.0598878923774716	0.349616744082333	0.279876854184159
"F2"	0	0	0	0	0	0	0.00200764511258874	0	0.00764103054201337	0.00499753121957753	0.102082447452325	0.0134609974329878	0	0.0515373314804792	0
"Zfp408"	0.0259382268846179	0.0136784673942541	0.0371462434919576	0.00927628245222141	0.0135340808702313	0.00483977169639746	0.0132797567157997	0.00746309143469139	0.00481607120284416	0.0143701635242128	0.0685174556471584	0.0130523786708452	0.0197488371153152	0.111552259663904	0
"Arhgap1"	0.0973413883339481	0.0927949955393743	0.375240653472359	0.104146761463136	0.125609952036434	0.110022034609143	0.249067735386545	0.111612103309557	0.0840862590099833	0.0967168173881538	0.201636855750826	0.239912193548189	0.116754458436805	0.32843979190377	0.589970501474926
"Atg13"	0.0441370912499325	0.0345602400579981	0.169905117769369	0.0323283512825432	0.0373833465158332	0.0233453728609774	0.0969920209811572	0.0653545160657371	0.0544720658455797	0.0505692071281395	0.160538996584192	0.123730158747524	0.0381343620216629	0.333121361525581	0
"Harbi1"	0.107462745070972	0.0555413932970371	0.0915509237322774	0.0915675025353793	0.0917728835858163	0.0512565404252861	0.0940080107181201	0.0700167582438899	0.0276852895904181	0.0218624956186346	0.168768580213758	0.113636177450564	0.0250204891279783	0.136214609020931	0.37965072133637
"Ambra1"	0.0222446964840039	0.0292286622642762	0.0534762227518396	0.0272665371438318	0.030622846709574	0.0243724150921311	0.0558662745518997	0.0284429890650547	0.0268871581307681	0.0259968011146619	0.125138391052349	0.0562564220817133	0.0181845475608712	0.18918619373536	0
"Mdk"	0.0029380320166108	0.00281956427180296	0.00168622604568357	0.00247323843485735	0.00838293862515834	0.00404928662330945	0	0.00127503141677411	0.00361118595141425	0.00158034805585582	0.286366749471456	0.00419886496282325	0	0.0921389673364285	0
"Dgkz"	0.307097034910507	0.341974721524072	0.155035796816643	0.321136911554207	0.324124204897483	0.390547359095404	0.242742458425335	0.335067799352108	0.0717155585506619	0.312069705485605	0.30606548028977	0.421501961254723	0.332003679007627	0.486152271894445	0.256016385048643
"Creb3l1"	0.0440125613816374	0.0242474437427816	1.55341834669684	0.0444793354634863	0.0400337931478874	0.0382855881504845	1.04687712678334	0.0795691763959742	0.129552870311044	0.0507790770336556	0.421555331104735	0.1590132924422	0.0208523744097583	0.365607681420373	0
"Phf21a"	0.0326205665990781	0.0241627865386842	0.0880568290109447	0.0241999664081405	0.01542385283858	0.0168352428218883	0.0578193640251447	0.0393134540037161	0.0406581336733072	0.0188820702221305	0.255800243824752	0.0835782795779632	0.00769503647062535	0.251234848150355	0
"Large2"	0.0365400939709504	0.0201890560608333	0.0380514975400127	0.0372694557880611	0.0313535415935991	0.0253177553652701	0.0240361222961046	0.0333657962590729	0.017173921118697	0.0203078964752474	0.0382900496436117	0.038787738448111	0.0136268298478819	0.0574577446330628	0
"Pex16"	0.363907675598042	0.44235279121586	0.246364870246187	0.354069379902139	0.551911943370741	0.670125892211466	0.437214580435939	0.846935142449374	0.103276240336688	1.26515421662396	0.442954516688544	0.516235784851744	1.03633581012966	0.598994019582371	0
"1700029I15Rik"	0.0091933443894738	0.000234840301197716	0.00223435077821748	0.00278049339501428	0.000738752838934816	0.000559516465870195	0.00155837808995208	0.00435711292472371	0.000474033016494405	0	0.0147426785755189	0.0065333557209656	0	0.00877821317715136	0
"Mapk8ip1"	0.00289220372567307	0.00134188055520695	0.00164083823205588	0.00143802044215781	0	0	0.00359643486869669	0	0.0025472376468443	0	0.129688190522947	0.0227866205345173	0	0.104194544633918	0
"Cry2"	0.00948672916265741	0.00969915504948676	0.0169749655562488	0.00614990909008264	0.00204570263339209	0.00532171069602823	0.0170600371780458	0.016157349785293	0.00338523292025123	0.0139637212425716	0.257762894481945	0.0509328716535991	0.0153293349357224	0.167625356045956	0.263088660878716
"Slc35c1"	0.0823891285047916	0.086301283634816	0.623706178222424	0.0993509417775884	0.0936289233010516	0.127337002209536	0.323892534734584	0.132688173164487	0.0709254873006546	0.139507970248587	0.13183353125771	0.173202263684365	0.178852526620995	0.181310112023981	0
"Syt13"	0	0.000469047420037499	0	0	0	0.00135079916655691	0.0135748481029046	0	0.00397381943561562	0	0.917096313144852	0	0	0.978374955632051	0
"Prdm11"	0.00310714654169669	0.00163419978784371	0.000609165541284093	0.00369340895922937	0.00137726047530579	0	0.00432274849276148	0	0.000307952020212985	0	0.0249900509029637	0	0	0.00299914464394755	0.387146728610143
"Trp53i11"	0.0596193906468068	0.042329407647651	0.060934851199776	0.0759030657445038	0.0518861553215423	0.0345446431340549	0.12467682035235	0.0166973103913306	0.036503927282222	0.00631578107765611	1.469677719356	0.144928376018565	0.0397233584531379	0.867007952551588	0.112271247333558
"Tspan18"	0.00684718953022862	0.00341961147580745	0	0.0060757453894409	0.00465891336593206	0.000442417640748647	0	0.00116377801446436	0.00211112593813699	0.0025005088535517	0.0110861672348327	0.00434803214587126	0	0.0213909913486237	0
"Cd82"	0.146411858117849	0.143465932444999	0.686771978048256	0.119951840240192	0.186577491686399	0.22958356105338	0.401176176085048	0.356581659544924	0.117243553448474	0.555843559685749	0.305421812318778	0.341540860943821	0.704290549774605	0.193503210766397	0.112271247333558
"Ext2"	0.193066062833649	0.167094794881791	0.1430290682031	0.193677343393102	0.17221797125723	0.177919719920113	0.189547015465091	0.208318554976917	0.0632599013968569	0.158278338039855	0.284344083460187	0.196774365799845	0.163661284735076	0.258957994091045	0.869847355659085
"Accs"	0.0389509843477666	0.0204743435128499	0.00777247112299035	0.0284402558806625	0.0242837369831651	0.0106663410160873	0.0162096438276026	0.0103205057470638	0.0282500655060923	0.0129945011176146	0.0252833340138167	0.0352693029710199	0.0342203210760288	0	0
"Alkbh3"	0.151371822184332	0.204542490595653	0.170099906033586	0.195055116845414	0.22851455011	0.286309244073849	0.210443861347844	0.298227686489297	0.0603601165906369	0.364195229092768	0.16101500444	0.184566060037002	0.3365560139115	0.245675580673119	0
"Hsd17b12"	0.699195406253636	0.914064489589048	0.74102693920971	0.867164739250702	0.895226771668753	1.10026057009652	0.878572420192969	0.927034666080193	0.168367820058368	0.891373418252504	0.544916956585284	0.835684867204064	0.968907821746964	0.614327070157441	0
"Ttc17"	0.0262330564292453	0.0207689667719882	0.0826863811618509	0.0223266598019015	0.0403325656713566	0.0542298595366028	0.0612816508883394	0.0578255487447962	0.0323355486637483	0.0329597336768969	0.0279377149820116	0.0357942353154445	0.134402884403296	0.105367286849594	0
"2810002D19Rik"	0.0211937768557063	0.0333707799376925	0.0176524926580166	0.018610257003192	0.0239161884219948	0.0262802684868093	0.0270545335210178	0.0270701837986629	0.0060645989525652	0.0380903017005598	0.0579299823786761	0.0991907549650619	0.0574783828678768	0.00320933737453096	0
"Api5"	0.371725875333133	0.47018999566275	0.266547513209642	0.512350525910509	0.477836041572214	0.559158069406192	0.352434280725305	0.42588813802053	0.0765240934853284	0.348726674576961	0.342983617479273	0.49116977952411	0.380351297460155	0.44245414997425	0
"B230118H07Rik"	0.201397784568724	0.256580740669697	0.0857150835640512	0.210600158270113	0.157864811185897	0.191271013915648	0.150071202113914	0.127231100350308	0.0683430965555911	0.0802328508713626	0.453594205366912	0.258825082501421	0.063326652274246	0.270372004074809	0
"Traf6"	0.0254612252364971	0.0261761920730172	0.0309565837576768	0.0218967733157991	0.0230541983210746	0.023605023849881	0.0341446535937498	0.0215917115391215	0.0193671997176194	0.0128251299375486	0.0831079973110934	0.0335145723970146	0.0025439486203785	0.0867171561582475	0
"Prr5l"	0	0.00163035087270237	0	0	0.00266663156027643	0	0	0	0	0.0080829101672895	0.00307877033912655	0	0.00625205536320065	0.00446983309643218	0.334001336005344
"Commd9"	0.465131591908262	0.553873945759283	0.511353532818621	0.515938414051132	0.573483496779461	0.549744418632845	0.519422004693948	0.666792927311162	0.138047405585056	0.530543864865811	0.841137473386508	0.586930344374526	0.504724943861493	1.1013929960837	0
"Ldlrad3"	0.00909540357253424	0.00133198629166454	0	0.00123068531696423	0.00193781287552094	0.00114369066461351	0.00346237590655527	0.00213326960069635	0.00924381501900733	0	0.0569464258529597	0	0	0.0582970870791917	0
"Trim44"	0.30634575239101	0.156513401843851	0.134507664978339	0.238151436502197	0.166937466147536	0.0922609991795314	0.114609139850575	0.0629307800977018	0.0637986411987027	0.0567102248612773	0.612013204222008	0.341017350749507	0.0627521731801987	0.775180351743892	0.418235048097031
"Fjx1"	0	0.000885983375319347	0	0	0	0.000988732698784462	0	0	0	0	0.0350274358695702	0	0	0.131870612724522	0
"Pamr1"	0	0.000549940389211511	0	0	0	0	0	0	0	0	0.0104863135944799	0	0	0	0
"Slc1a2"	0.13626096276316	0.0366746461504122	0.000788786174029736	0.0425507550927956	0.0180329605531194	0.00899023545158755	0.0125794718373444	0.000854144857501305	0.0328073055579351	0.00302847087664793	0.038985220212207	0	0	0.0525376897961451	0
"Cd44"	0.28095463242452	0.149061245658988	0.00483394470689711	0.202722680071066	0.10917881469042	0.0557192428174928	0.0637712600020072	0.0266463300654798	0.0351674297391603	0.00762590936796182	0.800293566408095	0.2902451166428	0.00260454853146438	0.834100477301225	0
"Pdhx"	0.108493702135849	0.138486137808158	0.0655868298613956	0.143629446049827	0.172468767835932	0.187070718268035	0.0825712681943555	0.16356622920016	0.0397186841005525	0.131038082156395	0.113920137787158	0.0688312977815845	0.161748569425597	0.289860787546387	0.279876854184159
"Apip"	0.317584273531	0.432800144298668	0.0649683717127009	0.416858227112164	0.321896270578294	0.391249935743015	0.224717920480101	0.180134225640772	0.0927992277046143	0.0957924452321152	0.369055952314026	0.422384888057086	0.0987665127643114	0.429411924663362	0
"Gm13874"	0	0.000385888996406139	0	0	0	0	0	0	0.000319818629575893	0	0	0	0	0	0
"Ehf"	1.41049307302814	1.01776051381854	0.43821847283733	1.2223073088882	0.855159382458849	0.715653077207221	0.760178720367612	0.562378065162118	0.239316838373725	0.353098995730021	0.168425441169141	2.993162317021	0.947054483745595	0.359778052952276	0
"Cat"	0.336286563627899	0.252995355426969	0.162578868759677	0.191919784012191	0.16713665893952	0.223036428780455	0.300332216389372	0.337466720603553	0.112849318562333	0.707108270275725	0.199121834944533	0.281533325831418	0.350798730288617	1.21249560171871	0
"Abtb2"	0.00541191052382479	0.000531459704034343	0	0.000796997614347041	0.000693162959423211	0	0.00729176857116054	0	0	0.00248697570821607	0.0306120644525683	0	0	0.00603405621326768	0
"Nat10"	0.116650619005367	0.0935554516011122	0.0950393437288975	0.103834954158312	0.110985841166938	0.074276581685905	0.145558569809608	0.0527835939969389	0.0649161166967583	0.0196424892961291	0.106393350136837	0.101511996420192	0.00438019573342654	0.149792916309099	0
"Caprin1"	0.856760708906099	0.938674684075762	0.624123954547045	0.944080562962928	0.848653668069073	0.891268953417039	0.742705515239502	0.72751003537603	0.230950917799823	0.544875603116323	1.53753334828613	0.99508453385502	0.532318707351134	1.5136882961506	1.59501164167225
"Lmo2"	0	0.0022321281297282	0	0	0.00327033431903075	0.00407870503801487	0	0.00380583168795828	0	0.00464473813283822	0.0103257205807396	0.0169831567640958	0.00599611738717454	0	0
"Fbxo3"	0.185209128201423	0.168162275896717	0.204048468682915	0.191752948398345	0.178252795835858	0.170697507610167	0.178908224064991	0.133810267772351	0.0387760211773449	0.123895080385661	0.506405882387992	0.325192260671124	0.196121818311996	0.583604853436687	0
"Cd59b"	0.0395380045729717	0.0249397100409036	0.0517054754927584	0.0279230432640942	0.0196274697800302	0.0303690785620465	0.0535792702727566	0.0323372941787103	0.0123839877443726	0.0650533706733117	0.091201086306093	0.0199619425057328	0.0310027480817954	0.0752399176592767	0
"Cd59a"	0.0399065725385274	0.020493944809241	0.168119292031497	0.0425919261815436	0.0326827318338211	0.0258425722264421	0.155831685680218	0.0193458281948475	0.00772866283404419	0.0376272326839419	0.271931069086747	0.0374690053895903	0.00369456581093133	0.106763682997398	0
"Hipk3"	0.0448801802017888	0.0684746267274244	0.0804440424067254	0.0694794808129352	0.0782444324277644	0.0711695871834775	0.0797781787082168	0.0740215284702016	0.0371433400160457	0.0609305328619614	0.307462360078942	0.285877126470775	0.0624127876742954	0.236941855926445	0.258397932816537
"Cstf3"	0.141096084130602	0.179942102534638	0.163551309972943	0.194178529961847	0.192798704668747	0.164424001553388	0.190413086483507	0.150882180065708	0.0642455746764967	0.0983854858057649	0.473209550838416	0.25568616170581	0.0893792321859714	0.327034732191093	0
"Tcp11l1"	0.0197346287231646	0.00949639467935837	0	0.0337137364292696	0.00626047078891642	0.00663858334856586	0.011636030944711	0	0.000668919856310664	0	0.101101483680474	0.0063856450698829	0	0.20333605154337	0
"Depdc7"	0.0559262343397498	0.071355678961481	0.00267332208130197	0.0861138121904207	0.0939992691209474	0.168078889898974	0.038620018812458	0.208893206512731	0.00403795085359487	0.281628152504775	0.00356522126654486	0.0182258343613931	0.1572945143803	0.0347820494408854	0
"Qser1"	0.102495762718214	0.0789214274516258	0.0608369600024472	0.0894833457111025	0.0822327389031856	0.0642035621922324	0.0938105573046879	0.0308106749829472	0.0465702643283204	0.0383686286942109	0.139537675925528	0.141198347550162	0.0481506012142908	0.149026633121757	0
"Prrg4"	0.0179572752227462	0.0106011061208662	0.0110513607940316	0.0148611017541535	0.00518795725710686	0.00995781824236492	0.0178607618802019	0.00501752901732887	0.00583645792825099	0.00123474899775424	0.0111732415843675	0.0193097439889386	0	0	0
"Ccdc73"	0.0495587123349389	0.0176303944846951	0.011812935896859	0.0319627755778411	0.0144416136851955	0.0115772134275301	0.0231180997977369	0.0195479781231607	0.0134612052152825	0.0265624289382688	0.0428994452655825	0.0257022436757441	0.0321094654996121	0.0412762665933329	0
"Eif3m"	2.73010360268848	2.57619649206703	1.32610869238374	2.67371677626496	2.7410105008628	2.27758088934165	1.97972598149527	2.15831583646027	0.641751093074288	1.56603568023046	2.09871606353015	2.18107045013651	2.06401088744515	1.93088901459462	2.00334794446422
"Rcn1"	0.0420446777667391	0.0275514862281363	0.662884322058454	0.0444357575431652	0.0297463677198884	0.0144717694606788	0.384152539189173	0.00661346304423369	0.0950977904623243	0.00283754627964526	0.862703307756398	0.0448275497630333	0.0104605420773456	0.994272740129868	0
"Pax6os1"	0	0	0	0	0	0	0	0	0	0	0.0865776159239619	0	0	0.140496555738636	0
"Paupar"	0	0	0	0	0	0	0	0	0	0	0.0850052828975096	0	0	0.0364329638002218	0
"Pax6"	0.00417654500521522	0.00143665342409147	0.00321630211146324	0	0.000929112264820781	0	0	0.000828734409848282	0.0044672187725382	0	1.86955747660533	0	0	1.01679818385549	0
"Elp4"	0.135844347344311	0.122672969094565	0.0851915514959503	0.16583575290508	0.122202746296875	0.181309570099665	0.0777866187482206	0.100591169811472	0.020140756245347	0.0911468755787094	0.226345368833787	0.133755848391891	0.0471252173408789	0.182913403610476	0.334001336005344
"Immp1l"	0.744207383843747	0.739284852779204	0.497773314152503	0.688433632422264	0.724385631593612	0.77490706581175	0.629020273977657	0.767185657281792	0.205320526910187	0.682866796977678	1.13252292839962	0.900329539418494	1.02026947934767	0.523538792786618	0
"Dnajc24"	0.254371469106059	0.332563701598741	0.221330519642568	0.357246168839791	0.281346284506877	0.364878710216012	0.246967194312375	0.32429708999644	0.0972213507320692	0.220983714079353	0.497067217391125	0.402223292068254	0.261008879001354	0.313518045728382	0.639358077162642
"Arl14ep"	0.0485198378858947	0.042774665901248	0.0311827890967686	0.0507973154311892	0.0283071823203504	0.036318343545046	0.0397981033523851	0.0411998120317214	0.0112900734131769	0.0216327410626921	0.0863702134677793	0.0266862172912265	0.014612825136345	0.127191019102704	0
"Mettl15"	0.0886703903712431	0.0602931550422057	0.0201014994382651	0.071337219839271	0.0708268058515128	0.0966781130933318	0.0379386280136736	0.0546676323247717	0.0105282869747856	0.0697045044615608	0.0165034686530213	0.0558393711121457	0.0512925280771542	0.0400290017625908	0
"Kif18a"	0.0265178432519898	0.164065575733161	0.00362487002433809	0.0970049848375009	0.0278654491965313	0.205001708655638	0.0729713217666677	0.0131632082350748	0.00526479026050945	0.00264401695978239	0.0103610513711118	0.0354681774238749	0	0.0379420455950594	0
"Bdnf"	0	0	0	0	0	0	0	0	0.00140512155566066	0	0.0889805310403244	0	0	0.0212417051141529	0
"Lin7c"	0.26866501628687	0.377593407030187	0.445605681253299	0.270923504219118	0.297531408583115	0.40610854435862	0.416974417494662	0.355169997111461	0.0930956111555246	0.343925383183112	0.924023919738514	0.414572320228179	0.440014722301142	0.696025325140245	0.711586959094675
"Lgr4"	0.36280871723548	0.323537340262037	0.309677574030481	0.267666462232443	0.259963450362975	0.320182056410131	0.317195658681182	0.229706504391466	0.201227898822171	0.16278822182389	0.215131089090416	0.233577275496079	0.298166475289802	0.365952873325713	0
"Ccdc34"	2.21061802852323	6.11608894955825	0.925201067464951	4.36076219564573	2.91532039530757	5.65321073793696	3.53189791243534	1.94774592630389	0.783321251538597	0.366464587630473	1.39737264181258	1.5291309869352	0.666321736323732	0.752335050037446	0.598444045481747
"Bbox1"	0.0166636769470165	0.00587433422918712	0	0.00530786537764575	0.00279136004781528	0.00501320627268134	0	0.00288474791377157	0.00229783498000299	0.0300268197747096	0	0	0.0112276415552978	0	0
"Lpcat4"	0.00298400286068111	0.00527596619253994	0.0673288582296328	0.00764111798865121	0.0112370702355051	0.0051881514125015	0.0391960501721986	0.00483324829874762	0.00370428991756947	0.00146235389256671	0.0867199750821597	0.112150987664268	0.00649941365385894	0.028558772039931	0
"Nop10"	3.9708651316531	4.89230137239631	2.45539846809944	5.14522222706437	5.03762187845213	4.54968342759453	3.5846288242658	3.71088304152421	1.13408992085942	2.65485102708811	1.90736197238245	3.30111697578512	2.56959626845974	1.99394890086266	2.50366848013237
"Slc12a6"	0.0585871435030694	0.0473599963971638	0.049837952770878	0.0498924603464823	0.043663257288994	0.0547930031287947	0.068658111965514	0.04227419843047	0.024558548748002	0.0856395146711193	0.178051700402977	0.0727929693122357	0.113052749322577	0.126526137526777	0
